id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_%_equipe,centile_True_Shooting_%_equipe,True_Shooting_%_opp,centile_True_Shooting_%_opp,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,minutes_filtre,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-15YLM-44NLM-93PLM-9D,"12 T. Hudgins, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 9 L. Delaunay",-17,34:33,84,44,54,16,32,8,25.0,3,22,8,36.4,51,5,4,80.0,58,26,10,16,11,6,11,11,69,61,47,21,22,11,50.0,39,25,10,40.0,65,10,9,90.0,79,28,5,23,21,5,9,12,Le Mans,Betclic Elite,12 T. Hudgins,15 W. Yeguete,44 W. Narace,93 N. Penda,9 L. Delaunay,LM-12H,LM-15Y,LM-44N,LM-93P,LM-9D,2073.0,87,52.38095238095239,3,88.40579710144928,42,-36.024844720496894,11,97.25036179450072,57,79.88422575976846,95,17.366136034732264,90,39.145907473309606,5,59.33852140077821,43,-20.192613927468607,9,78.29181494661921,5,118.67704280155642,43,0 days 00:34:33,-40.38522785493721,9,orange
LM-12HLM-34DLM-15YLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 9 L. Delaunay",-4,34:01,90,78,62,27,40,20,50.0,36,22,7,31.8,37,20,17,85.0,70,33,14,19,18,10,9,15,82,82,53,26,27,11,40.7,18,26,15,57.7,93,19,15,78.9,53,27,8,19,20,5,11,17,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-93P,LM-9D,2041.0,87,86.66666666666667,51,100.0,17,-13.333333333333329,29,105.83047525722684,85,96.42332190102891,45,9.407153356197924,79,55.08474576271186,41,66.8187744458931,18,-11.734028683181236,25,110.16949152542372,41,133.6375488917862,18,0 days 00:34:01,-23.468057366362473,25,orange
LM-34DLM-35TLM-93PLM-2BLM-5N,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 5 M. Ngouama",-17,23:01,59,44,39,19,25,17,68.0,83,14,2,14.3,7,7,4,57.1,18,18,4,14,7,3,10,12,55,61,39,21,24,16,66.7,82,15,5,33.3,41,15,14,93.3,82,19,4,15,16,8,6,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,5 M. Ngouama,LM-34D,LM-35T,LM-93P,LM-2B,LM-5N,1381.0,76,74.57627118644068,30,110.9090909090909,6,-36.33281972265023,11,102.53439536567704,76,95.58291093410573,51,6.951484431571316,70,52.28136882129277,33,66.8859649122807,18,-14.604596090987926,17,104.56273764258555,33,133.7719298245614,18,0 days 00:23:01,-29.20919218197585,17,orange
LM-12HLM-34DLM-15YLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 44 W. Narace, 9 L. Delaunay",21,21:08,51,56,30,17,13,8,61.5,70,17,9,52.9,85,16,13,81.3,62,17,4,13,15,2,4,6,36,35,24,11,8,4,50.0,39,16,7,43.8,74,9,6,66.7,25,7,0,7,8,1,5,14,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-44N,LM-9D,1268.0,72,109.80392156862746,86,97.22222222222221,21,12.581699346405244,64,96.52996845425868,55,68.13880126182966,99,28.391167192429023,96,75.5939524838013,94,62.58941344778255,29,13.004539036018755,77,151.1879049676026,94,125.1788268955651,29,0 days 00:21:08,26.00907807203751,77,orange
LM-34DLM-35TLM-93PLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 9 L. Delaunay",6,19:00,43,51,29,19,17,12,70.6,88,12,7,58.3,91,7,6,85.7,71,12,3,9,12,2,5,9,44,45,33,17,24,14,58.3,66,9,3,33.3,41,8,8,100.0,91,11,3,8,9,4,5,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-93P,LM-2B,LM-9D,1140.0,65,118.6046511627907,94,102.27272727272727,15,16.331923890063436,69,90.52631578947368,24,92.63157894736842,65,-2.10526315789474,44,79.48877805486285,97,61.610076670317625,35,17.878701384545224,86,158.9775561097257,97,123.22015334063525,35,0 days 00:19:00,35.75740276909045,86,orange
LM-12HLM-34DLM-35TLM-15YLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 9 L. Delaunay",-3,17:16,43,37,23,12,13,9,69.2,86,10,3,30.0,33,14,10,71.4,38,9,3,6,10,5,10,15,39,40,20,14,13,11,84.6,99,7,3,42.9,71,11,9,81.8,60,7,0,7,13,4,7,11,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-15Y,LM-9D,1036.0,59,86.04651162790698,48,102.56410256410255,14,-16.517590936195575,24,99.61389961389962,67,90.34749034749035,73,9.26640926640927,77,63.44307270233196,68,80.51529790660226,1,-17.072225204270296,13,126.88614540466392,68,161.0305958132045,1,0 days 00:17:16,-34.14445040854059,13,orange
LM-12HLM-34DLM-15YLM-93PLM-2B,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",-7,17:09,48,33,33,12,19,11,57.9,56,14,1,7.1,2,11,8,72.7,41,14,6,8,9,3,3,6,35,40,26,16,16,11,68.8,87,10,5,50.0,84,4,3,75.0,43,14,3,11,10,0,4,9,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-12H,LM-34D,LM-15Y,LM-93P,LM-2B,1029.0,59,68.75,19,114.28571428571428,3,-45.53571428571428,5,111.9533527696793,91,81.6326530612245,93,30.320699708454796,97,43.604651162790695,11,72.04610951008645,5,-28.441458347295757,5,87.20930232558139,11,144.0922190201729,5,0 days 00:17:09,-56.882916694591515,5,orange
LM-1NLM-15YLM-44NLM-93PLM-2B,"1 A. N'Doye, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 2 T. Buchanan",-4,16:40,39,29,29,13,23,12,52.2,43,6,1,16.7,12,2,2,100.0,90,11,4,7,9,5,5,8,40,33,26,13,15,11,73.3,94,11,2,18.2,7,11,5,45.5,7,14,4,10,5,4,8,6,Le Mans,Betclic Elite,1 A. N'Doye,15 W. Yeguete,44 W. Narace,93 N. Penda,2 T. Buchanan,LM-1N,LM-15Y,LM-44N,LM-93P,LM-2B,1000.0,55,74.35897435897436,30,82.5,54,-8.141025641025635,34,93.6,39,96.0,49,-2.4000000000000057,42,48.52744310575636,22,53.50194552529183,67,-4.974502419535469,36,97.05488621151272,22,107.00389105058366,67,0 days 00:16:40,-9.949004839070938,36,orange
LM-12HLM-35TLM-1NLM-15YLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",11,16:20,41,39,31,15,18,6,33.3,8,13,9,69.2,99,0,0,0.0,1,14,6,8,11,4,6,6,41,28,26,10,18,7,38.9,15,8,3,37.5,56,6,5,83.3,66,15,6,9,2,3,9,4,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-15Y,LM-93P,980.0,54,95.1219512195122,71,68.29268292682927,86,26.829268292682926,84,100.40816326530613,71,100.40816326530613,28,0.0,50,62.903225806451616,65,48.882681564245814,79,14.020544242205801,80,125.80645161290323,65,97.76536312849163,79,0 days 00:16:20,28.041088484411603,80,orange
LM-12HLM-34DLM-1NLM-15YLM-93P,"12 T. Hudgins, 34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",-4,15:59,47,29,29,11,16,7,43.8,22,13,4,30.8,34,4,3,75.0,47,15,8,7,9,4,6,8,39,33,21,10,9,4,44.4,25,12,6,50.0,84,7,7,100.0,91,9,0,9,10,3,8,10,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-34D,LM-1N,LM-15Y,LM-93P,959.0,52,61.702127659574465,10,84.61538461538461,48,-22.913256955810148,17,117.62252346193952,97,97.60166840458811,40,20.02085505735141,91,47.13914174252275,19,68.52159468438539,15,-21.38245294186264,9,94.2782834850455,19,137.04318936877078,15,0 days 00:15:59,-42.76490588372528,9,orange
