id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_%_equipe,centile_True_Shooting_%_equipe,True_Shooting_%_opp,centile_True_Shooting_%_opp,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,minutes_filtre,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-34DLM-15YLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 9 L. Delaunay",-21,49:34,134,102,88,35,56,26,46.4,25,32,9,28.1,29,28,23,82.1,61,50,20,30,22,13,16,23,114,123,78,41,38,18,47.4,27,40,23,57.5,92,24,18,75.0,42,37,8,29,32,8,15,25,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-93P,LM-9D,2974.0,92,76.11940298507463,29,107.89473684210526,12,-31.77533385703063,13,108.13718897108271,86,91.99731002017485,65,16.139878950907857,87,50.83732057416268,23,69.44444444444444,16,-18.60712387028176,11,101.67464114832536,23,138.88888888888889,16,0 days 00:49:34,-37.21424774056352,11,orange
LM-12HLM-15YLM-44NLM-93PLM-9D,"12 T. Hudgins, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 9 L. Delaunay",-22,42:55,103,57,64,22,40,14,35.0,7,24,8,33.3,39,6,5,83.3,64,31,11,20,13,6,14,17,86,79,59,27,31,15,48.4,30,28,12,42.9,71,14,13,92.9,81,32,6,26,25,6,10,15,Le Mans,Betclic Elite,12 T. Hudgins,15 W. Yeguete,44 W. Narace,93 N. Penda,9 L. Delaunay,LM-12H,LM-15Y,LM-44N,LM-93P,LM-9D,2575.0,90,55.33980582524271,4,91.86046511627907,37,-36.52065929103636,10,96.0,50,80.15533980582525,95,15.84466019417475,86,42.76710684273709,8,60.62001227747085,43,-17.852905434733756,12,85.53421368547419,8,121.2400245549417,43,0 days 00:42:55,-35.70581086946751,12,orange
LM-12HLM-34DLM-1NLM-15YLM-93P,"12 T. Hudgins, 34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",2,39:33,104,82,67,31,39,20,51.3,37,28,11,39.3,57,14,9,64.3,22,38,15,23,23,5,13,18,93,80,61,27,28,14,50.0,36,33,13,39.4,61,14,13,92.9,81,24,3,21,22,5,12,21,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-34D,LM-1N,LM-15Y,LM-93P,2373.0,89,78.84615384615384,35,86.02150537634408,51,-7.175351530190241,37,105.18331226295828,81,94.0581542351454,56,11.125158027812887,79,56.04155276107162,39,59.55926146515783,46,-3.5177087040862105,41,112.08310552214324,39,119.11852293031566,46,0 days 00:39:33,-7.035417408172421,41,orange
LM-12HLM-34DLM-35TLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 9 L. Delaunay",23,28:19,72,69,47,26,24,17,70.8,85,23,9,39.1,57,14,8,57.1,15,26,4,22,17,4,6,13,66,46,45,16,29,13,44.8,22,16,3,18.8,9,17,11,64.7,24,21,7,14,8,2,9,17,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-93P,LM-9D,1699.0,79,95.83333333333334,68,69.6969696969697,82,26.13636363636364,83,101.70688640376692,71,93.23131253678635,61,8.475573866980568,74,64.89841986455983,69,43.82621951219512,92,21.07220035236471,89,129.79683972911965,69,87.65243902439023,92,0 days 00:28:19,42.14440070472942,89,orange
LM-12HLM-34DLM-15YLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 44 W. Narace, 9 L. Delaunay",11,26:49,66,62,40,20,21,11,52.4,39,19,9,47.4,76,17,13,76.5,49,20,6,14,16,2,6,10,49,51,29,15,11,6,54.5,50,18,9,50.0,83,15,12,80.0,55,10,0,10,11,2,7,15,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-44N,LM-9D,1609.0,78,93.93939393939394,64,104.08163265306123,17,-10.142238713667297,32,98.44623990055936,64,73.088875077688,98,25.35736482287136,95,65.29064869418703,70,71.62921348314606,10,-6.338564788959033,35,130.58129738837405,70,143.25842696629212,10,0 days 00:26:49,-12.677129577918066,35,orange
LM-34DLM-35TLM-93PLM-2BLM-5N,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 5 M. Ngouama",-17,23:01,59,44,39,19,25,17,68.0,79,14,2,14.3,7,7,4,57.1,15,18,4,14,7,3,10,12,55,61,39,21,24,16,66.7,79,15,5,33.3,41,15,14,93.3,82,19,4,15,16,8,6,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,5 M. Ngouama,LM-34D,LM-35T,LM-93P,LM-2B,LM-5N,1381.0,71,74.57627118644068,27,110.9090909090909,9,-36.33281972265023,10,102.53439536567704,74,95.58291093410573,46,6.951484431571316,70,52.28136882129277,28,66.8859649122807,22,-14.604596090987926,15,104.56273764258555,28,133.7719298245614,22,0 days 00:23:01,-29.20919218197585,15,orange
LM-12HLM-34DLM-15YLM-93PLM-2B,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",-2,22:52,65,45,44,17,24,14,58.3,53,20,3,15.0,8,11,8,72.7,38,21,9,12,11,5,4,7,46,47,34,19,19,13,68.4,83,15,6,40.0,64,4,3,75.0,42,18,5,13,12,1,7,12,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-12H,LM-34D,LM-15Y,LM-93P,LM-2B,1372.0,70,69.23076923076923,19,102.17391304347827,20,-32.94314381270904,12,113.70262390670554,94,80.466472303207,94,33.23615160349854,99,46.06879606879606,13,65.71588366890381,27,-19.647087600107753,10,92.13759213759212,13,131.43176733780763,27,0 days 00:22:52,-39.294175200215506,10,orange
LM-12HLM-34DLM-35TLM-15YLM-2B,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 2 T. Buchanan",19,22:36,63,54,40,18,25,12,48.0,28,15,6,40.0,60,17,12,70.6,34,26,10,16,15,3,6,6,54,35,33,12,20,9,45.0,23,13,3,23.1,15,10,8,80.0,55,15,2,13,12,6,9,20,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,2 T. Buchanan,LM-12H,LM-34D,LM-35T,LM-15Y,LM-2B,1356.0,70,85.71428571428571,49,64.81481481481481,87,20.8994708994709,76,111.50442477876106,93,95.57522123893806,46,15.929203539823007,86,56.86604886267902,42,46.791443850267385,85,10.074605012411638,71,113.73209772535805,42,93.58288770053477,85,0 days 00:22:36,20.149210024823276,71,orange
LM-34DLM-35TLM-93PLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 9 L. Delaunay",-3,22:10,47,57,32,21,18,13,72.2,88,14,8,57.1,91,9,7,77.8,51,12,3,9,15,2,5,12,52,60,40,22,30,18,60.0,64,10,4,40.0,64,13,12,92.3,80,15,6,9,14,4,5,11,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-93P,LM-2B,LM-9D,1330.0,70,121.27659574468086,94,115.38461538461537,6,5.891980360065489,57,84.81203007518798,13,93.83458646616542,58,-9.022556390977442,21,79.25472747497219,95,65.61679790026247,28,13.637929574709716,78,158.50945494994437,95,131.23359580052494,28,0 days 00:22:10,27.275859149419432,78,orange
LM-12HLM-35TLM-1NLM-44NLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 44 W. Narace, 93 N. Penda",-13,20:47,43,24,29,9,13,5,38.5,12,16,4,25.0,22,4,2,50.0,9,19,5,14,5,1,7,12,48,37,29,11,22,8,36.4,9,7,3,42.9,71,16,12,75.0,42,18,4,14,9,4,5,8,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,44 W. Narace,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-44N,LM-93P,1247.0,66,55.81395348837209,5,77.08333333333334,68,-21.26937984496125,19,82.75862068965517,8,92.38171611868484,64,-9.62309542902966,21,39.01170351105331,4,51.33185349611543,72,-12.320149985062116,20,78.02340702210662,4,102.66370699223086,72,0 days 00:20:47,-24.640299970124232,20,orange
