id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_equipe_%,centile_True_Shooting_equipe_%,True_Shooting_opp_%,centile_True_Shooting_opp_%,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-34DLM-15YLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 9 L. Delaunay",-4,34:01,90,78,62,27,40,20,50.0,38,22,7,31.8,38,20,17,85.0,67,33,14,19,18,10,9,15,82,82,53,26,27,11,40.7,18,26,15,57.7,92,19,15,78.9,52,27,8,19,20,5,11,17,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-93P,LM-9D,2041.0,88,86.66666666666667,50,100.0,22,-13.333333333333329,31,105.83047525722684,86,96.42332190102891,37,9.407153356197924,79,55.08474576271186,44,66.8187744458931,78,-11.734028683181236,25,110.16949152542372,44,133.6375488917862,21,-23.468057366362473,25,orange
LM-12HLM-15YLM-44NLM-93PLM-9D,"12 T. Hudgins, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 9 L. Delaunay",-15,26:32,65,30,43,11,24,5,20.8,3,19,6,31.6,37,2,2,100.0,88,22,9,13,7,4,8,7,54,45,38,16,17,8,47.1,31,21,8,38.1,58,6,5,83.3,65,25,4,21,15,5,6,9,Le Mans,Betclic Elite,12 T. Hudgins,15 W. Yeguete,44 W. Narace,93 N. Penda,9 L. Delaunay,LM-12H,LM-15Y,LM-44N,LM-93P,LM-9D,1592.0,81,46.15384615384615,1,83.33333333333334,55,-37.17948717948719,10,97.98994974874373,65,81.4070351758794,93,16.582914572864325,88,34.184138559708295,2,55.36417322834646,37,-21.180034668638164,10,68.36827711941659,2,110.72834645669292,62,-42.36006933727633,10,orange
LM-34DLM-35TLM-93PLM-2BLM-5N,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 5 M. Ngouama",-17,23:01,59,44,39,19,25,17,68.0,84,14,2,14.3,7,7,4,57.1,17,18,4,14,7,3,10,12,55,61,39,21,24,16,66.7,82,15,5,33.3,41,15,14,93.3,81,19,4,15,16,8,6,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,5 M. Ngouama,LM-34D,LM-35T,LM-93P,LM-2B,LM-5N,1381.0,76,74.57627118644068,30,110.9090909090909,8,-36.33281972265023,11,102.53439536567704,78,95.58291093410573,43,6.951484431571316,73,52.28136882129277,33,66.8859649122807,79,-14.604596090987926,17,104.56273764258555,33,133.7719298245614,20,-29.20919218197585,17,orange
LM-12HLM-34DLM-15YLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 44 W. Narace, 9 L. Delaunay",21,21:03,50,56,30,17,13,8,61.5,68,17,9,52.9,85,16,13,81.3,59,17,4,13,15,2,4,6,36,35,24,11,8,4,50.0,39,16,7,43.8,73,9,6,66.7,24,7,0,7,8,1,5,14,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-44N,LM-9D,1263.0,71,112.00000000000001,85,97.22222222222221,25,14.7777777777778,67,95.01187648456056,52,68.40855106888361,98,26.60332541567695,95,75.5939524838013,93,62.58941344778255,67,13.004539036018755,78,151.1879049676026,93,125.1788268955651,32,26.00907807203751,78,orange
LM-12HLM-34DLM-35TLM-15YLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 9 L. Delaunay",-3,17:16,43,37,23,12,13,9,69.2,86,10,3,30.0,34,14,10,71.4,37,9,3,6,10,5,10,15,39,40,20,14,13,11,84.6,98,7,3,42.9,71,11,9,81.8,60,7,0,7,13,4,7,11,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-15Y,LM-9D,1036.0,61,86.04651162790698,48,102.56410256410255,19,-16.517590936195575,25,99.61389961389962,71,90.34749034749035,64,9.26640926640927,78,63.44307270233196,70,80.51529790660226,98,-17.072225204270296,14,126.88614540466392,70,161.0305958132045,1,-34.14445040854059,14,orange
LM-12HLM-34DLM-15YLM-93PLM-2B,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",-7,17:09,48,33,33,12,19,11,57.9,54,14,1,7.1,3,11,8,72.7,40,14,6,8,9,3,3,6,35,40,26,16,16,11,68.8,86,10,5,50.0,83,4,3,75.0,42,14,3,11,10,0,4,9,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-12H,LM-34D,LM-15Y,LM-93P,LM-2B,1029.0,60,68.75,18,114.28571428571428,5,-45.53571428571428,5,111.9533527696793,92,81.6326530612245,92,30.320699708454796,97,43.604651162790695,10,72.04610951008645,92,-28.441458347295757,5,87.20930232558139,10,144.0922190201729,7,-56.882916694591515,5,orange
LM-34DLM-35TLM-93PLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 9 L. Delaunay",9,16:55,40,49,27,18,16,11,68.8,85,11,7,63.6,96,7,6,85.7,68,12,3,9,12,2,4,8,36,40,28,15,22,13,59.1,66,6,2,33.3,41,8,8,100.0,90,9,2,7,9,3,3,9,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-93P,LM-2B,LM-9D,1015.0,58,122.50000000000001,95,111.11111111111111,8,11.3888888888889,62,94.58128078817734,51,85.12315270935962,83,9.458128078817722,80,81.44946808510639,98,63.45177664974619,69,17.997691435360196,86,162.89893617021278,98,126.90355329949239,30,35.99538287072039,86,orange
LM-1NLM-15YLM-44NLM-93PLM-2B,"1 A. N'Doye, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 2 T. Buchanan",-4,16:40,39,29,29,13,23,12,52.2,43,6,1,16.7,11,2,2,100.0,88,11,4,7,9,5,5,8,40,33,26,13,15,11,73.3,93,11,2,18.2,7,11,5,45.5,8,14,4,10,5,4,8,6,Le Mans,Betclic Elite,1 A. N'Doye,15 W. Yeguete,44 W. Narace,93 N. Penda,2 T. Buchanan,LM-1N,LM-15Y,LM-44N,LM-93P,LM-2B,1000.0,57,74.35897435897436,30,82.5,57,-8.141025641025635,36,93.6,46,96.0,41,-2.4000000000000057,41,48.52744310575636,21,53.50194552529183,32,-4.974502419535469,39,97.05488621151272,21,107.00389105058366,67,-9.949004839070938,39,orange
LM-12HLM-35TLM-1NLM-15YLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",11,16:20,41,39,31,15,18,6,33.3,8,13,9,69.2,98,0,0,0.0,1,14,6,8,11,4,6,6,41,28,26,10,18,7,38.9,16,8,3,37.5,55,6,5,83.3,65,15,6,9,2,3,9,4,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-15Y,LM-93P,980.0,55,95.1219512195122,67,68.29268292682927,87,26.829268292682926,85,100.40816326530613,73,100.40816326530613,23,0.0,50,62.903225806451616,66,48.882681564245814,20,14.020544242205801,80,125.80645161290323,66,97.76536312849163,80,28.041088484411603,80,orange
LM-12HLM-34DLM-1NLM-15YLM-93P,"12 T. Hudgins, 34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",-4,15:59,47,29,29,11,16,7,43.8,24,13,4,30.8,36,4,3,75.0,47,15,8,7,9,4,6,8,39,33,21,10,9,4,44.4,25,12,6,50.0,83,7,7,100.0,90,9,0,9,10,3,8,10,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-34D,LM-1N,LM-15Y,LM-93P,959.0,53,61.702127659574465,10,84.61538461538461,52,-22.913256955810148,18,117.62252346193952,97,97.60166840458811,31,20.02085505735141,91,47.13914174252275,18,68.52159468438539,82,-21.38245294186264,10,94.2782834850455,18,137.04318936877078,17,-42.76490588372528,10,orange
