id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_equipe_%,centile_True_Shooting_equipe_%,True_Shooting_opp_%,centile_True_Shooting_opp_%,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-34DLM-15YLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 9 L. Delaunay",-4.0,34:01,90.0,78.0,62.0,27.0,40.0,20.0,50.0,38.0,22.0,7.0,31.8,38.0,20.0,17.0,85.0,67.0,33.0,14.0,19.0,18.0,10.0,9.0,15.0,82.0,82.0,53.0,26.0,27.0,11.0,40.7,18.0,26.0,15.0,57.7,92.0,19.0,15.0,78.9,52.0,27.0,8.0,19.0,20.0,5.0,11.0,17.0,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-93P,LM-9D,2041.0,88.0,86.66666666666667,50.0,100.0,22.0,-13.333333333333329,31.0,105.83047525722684,86.0,96.42332190102891,37.0,9.407153356197924,79.0,55.08474576271186,44.0,66.8187744458931,78.0,-11.734028683181236,25.0,110.16949152542372,44.0,133.6375488917862,21.0,-23.468057366362476,25.0,orange
LM-12HLM-15YLM-44NLM-93PLM-9D,"12 T. Hudgins, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 9 L. Delaunay",-15.0,26:32,65.0,30.0,43.0,11.0,24.0,5.0,20.8,3.0,19.0,6.0,31.6,37.0,2.0,2.0,100.0,88.0,22.0,9.0,13.0,7.0,4.0,8.0,7.0,54.0,45.0,38.0,16.0,17.0,8.0,47.1,31.0,21.0,8.0,38.1,58.0,6.0,5.0,83.3,65.0,25.0,4.0,21.0,15.0,5.0,6.0,9.0,Le Mans,Betclic Elite,12 T. Hudgins,15 W. Yeguete,44 W. Narace,93 N. Penda,9 L. Delaunay,LM-12H,LM-15Y,LM-44N,LM-93P,LM-9D,1592.0,81.0,46.15384615384615,1.0,83.33333333333334,55.0,-37.17948717948719,10.0,97.98994974874373,65.0,81.4070351758794,93.0,16.582914572864325,88.0,34.184138559708295,2.0,55.36417322834646,37.0,-21.180034668638164,10.0,68.36827711941659,2.0,110.72834645669292,62.0,-42.36006933727633,10.0,orange
LM-34DLM-35TLM-93PLM-2BLM-5N,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 5 M. Ngouama",-17.0,23:01,59.0,44.0,39.0,19.0,25.0,17.0,68.0,84.0,14.0,2.0,14.3,7.0,7.0,4.0,57.1,17.0,18.0,4.0,14.0,7.0,3.0,10.0,12.0,55.0,61.0,39.0,21.0,24.0,16.0,66.7,82.0,15.0,5.0,33.3,41.0,15.0,14.0,93.3,81.0,19.0,4.0,15.0,16.0,8.0,6.0,10.0,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,5 M. Ngouama,LM-34D,LM-35T,LM-93P,LM-2B,LM-5N,1381.0,76.0,74.57627118644068,30.0,110.9090909090909,8.0,-36.33281972265023,11.0,102.53439536567704,78.0,95.58291093410573,43.0,6.951484431571316,73.0,52.28136882129277,33.0,66.8859649122807,79.0,-14.604596090987926,17.0,104.56273764258556,33.0,133.7719298245614,20.0,-29.20919218197585,17.0,orange
LM-12HLM-34DLM-15YLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 44 W. Narace, 9 L. Delaunay",21.0,21:03,50.0,56.0,30.0,17.0,13.0,8.0,61.5,68.0,17.0,9.0,52.9,85.0,16.0,13.0,81.3,59.0,17.0,4.0,13.0,15.0,2.0,4.0,6.0,36.0,35.0,24.0,11.0,8.0,4.0,50.0,39.0,16.0,7.0,43.8,73.0,9.0,6.0,66.7,24.0,7.0,0.0,7.0,8.0,1.0,5.0,14.0,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-44N,LM-9D,1263.0,71.0,112.0,85.0,97.2222222222222,25.0,14.7777777777778,67.0,95.01187648456056,52.0,68.40855106888361,98.0,26.60332541567695,95.0,75.5939524838013,93.0,62.58941344778255,67.0,13.004539036018755,78.0,151.1879049676026,93.0,125.1788268955651,32.0,26.00907807203751,78.0,orange
LM-12HLM-34DLM-35TLM-15YLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 9 L. Delaunay",-3.0,17:16,43.0,37.0,23.0,12.0,13.0,9.0,69.2,86.0,10.0,3.0,30.0,34.0,14.0,10.0,71.4,37.0,9.0,3.0,6.0,10.0,5.0,10.0,15.0,39.0,40.0,20.0,14.0,13.0,11.0,84.6,98.0,7.0,3.0,42.9,71.0,11.0,9.0,81.8,60.0,7.0,0.0,7.0,13.0,4.0,7.0,11.0,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-15Y,LM-9D,1036.0,61.0,86.04651162790698,48.0,102.56410256410255,19.0,-16.517590936195575,25.0,99.61389961389962,71.0,90.34749034749036,64.0,9.26640926640927,78.0,63.44307270233196,70.0,80.51529790660226,98.0,-17.072225204270296,14.0,126.88614540466392,70.0,161.0305958132045,1.0,-34.14445040854059,14.0,orange
LM-12HLM-34DLM-15YLM-93PLM-2B,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",-7.0,17:09,48.0,33.0,33.0,12.0,19.0,11.0,57.9,54.0,14.0,1.0,7.1,3.0,11.0,8.0,72.7,40.0,14.0,6.0,8.0,9.0,3.0,3.0,6.0,35.0,40.0,26.0,16.0,16.0,11.0,68.8,86.0,10.0,5.0,50.0,83.0,4.0,3.0,75.0,42.0,14.0,3.0,11.0,10.0,0.0,4.0,9.0,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-12H,LM-34D,LM-15Y,LM-93P,LM-2B,1029.0,60.0,68.75,18.0,114.28571428571428,5.0,-45.53571428571428,5.0,111.9533527696793,92.0,81.6326530612245,92.0,30.3206997084548,97.0,43.604651162790695,10.0,72.04610951008645,92.0,-28.44145834729576,5.0,87.20930232558139,10.0,144.0922190201729,7.0,-56.88291669459152,5.0,orange
LM-34DLM-35TLM-93PLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 9 L. Delaunay",9.0,16:55,40.0,49.0,27.0,18.0,16.0,11.0,68.8,85.0,11.0,7.0,63.6,96.0,7.0,6.0,85.7,68.0,12.0,3.0,9.0,12.0,2.0,4.0,8.0,36.0,40.0,28.0,15.0,22.0,13.0,59.1,66.0,6.0,2.0,33.3,41.0,8.0,8.0,100.0,90.0,9.0,2.0,7.0,9.0,3.0,3.0,9.0,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-93P,LM-2B,LM-9D,1015.0,58.0,122.5,95.0,111.11111111111111,8.0,11.3888888888889,62.0,94.58128078817734,51.0,85.12315270935962,83.0,9.458128078817722,80.0,81.44946808510639,98.0,63.45177664974619,69.0,17.997691435360196,86.0,162.89893617021278,98.0,126.9035532994924,30.0,35.99538287072039,86.0,orange
LM-1NLM-15YLM-44NLM-93PLM-2B,"1 A. N'Doye, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 2 T. Buchanan",-4.0,16:40,39.0,29.0,29.0,13.0,23.0,12.0,52.2,43.0,6.0,1.0,16.7,11.0,2.0,2.0,100.0,88.0,11.0,4.0,7.0,9.0,5.0,5.0,8.0,40.0,33.0,26.0,13.0,15.0,11.0,73.3,93.0,11.0,2.0,18.2,7.0,11.0,5.0,45.5,8.0,14.0,4.0,10.0,5.0,4.0,8.0,6.0,Le Mans,Betclic Elite,1 A. N'Doye,15 W. Yeguete,44 W. Narace,93 N. Penda,2 T. Buchanan,LM-1N,LM-15Y,LM-44N,LM-93P,LM-2B,1000.0,57.0,74.35897435897436,30.0,82.5,57.0,-8.141025641025635,36.0,93.6,46.0,96.0,41.0,-2.4000000000000057,41.0,48.52744310575636,21.0,53.50194552529183,32.0,-4.974502419535469,39.0,97.05488621151272,21.0,107.00389105058366,67.0,-9.949004839070938,39.0,orange
LM-12HLM-35TLM-1NLM-15YLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",11.0,16:20,41.0,39.0,31.0,15.0,18.0,6.0,33.3,8.0,13.0,9.0,69.2,98.0,0.0,0.0,0.0,1.0,14.0,6.0,8.0,11.0,4.0,6.0,6.0,41.0,28.0,26.0,10.0,18.0,7.0,38.9,16.0,8.0,3.0,37.5,55.0,6.0,5.0,83.3,65.0,15.0,6.0,9.0,2.0,3.0,9.0,4.0,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-15Y,LM-93P,980.0,55.0,95.1219512195122,67.0,68.29268292682927,87.0,26.82926829268293,85.0,100.40816326530611,73.0,100.40816326530611,23.0,0.0,50.0,62.903225806451616,66.0,48.88268156424581,20.0,14.0205442422058,80.0,125.80645161290325,66.0,97.76536312849164,80.0,28.041088484411603,80.0,orange
LM-12HLM-34DLM-1NLM-15YLM-93P,"12 T. Hudgins, 34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",-4.0,15:59,47.0,29.0,29.0,11.0,16.0,7.0,43.8,24.0,13.0,4.0,30.8,36.0,4.0,3.0,75.0,47.0,15.0,8.0,7.0,9.0,4.0,6.0,8.0,39.0,33.0,21.0,10.0,9.0,4.0,44.4,25.0,12.0,6.0,50.0,83.0,7.0,7.0,100.0,90.0,9.0,0.0,9.0,10.0,3.0,8.0,10.0,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-34D,LM-1N,LM-15Y,LM-93P,959.0,53.0,61.70212765957447,10.0,84.61538461538461,52.0,-22.913256955810148,18.0,117.62252346193952,97.0,97.60166840458812,31.0,20.02085505735141,91.0,47.13914174252275,18.0,68.52159468438539,82.0,-21.38245294186264,10.0,94.2782834850455,18.0,137.04318936877078,17.0,-42.76490588372528,10.0,orange
