id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_%_equipe,centile_True_Shooting_%_equipe,True_Shooting_%_opp,centile_True_Shooting_%_opp,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,minutes_filtre,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-15YLM-44NLM-93PLM-9D,"12 T. Hudgins, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 9 L. Delaunay",-16,37:09,90,49,57,18,34,10,29.4,7,23,8,34.8,47,6,5,83.3,66,28,10,18,13,6,13,14,74,65,50,22,25,12,48.0,32,25,10,40.0,64,12,11,91.7,81,28,5,23,21,6,9,13,Le Mans,Betclic Elite,12 T. Hudgins,15 W. Yeguete,44 W. Narace,93 N. Penda,9 L. Delaunay,LM-12H,LM-15Y,LM-44N,LM-93P,LM-9D,2229.0,89,54.44444444444444,4,87.83783783783784,48,-33.393393393393396,13,96.90444145356662,57,79.67698519515478,91,17.227456258411834,91,41.07981220657277,6,58.79160636758321,45,-17.711794161010445,12,82.15962441314554,6,117.58321273516643,45,0 days 00:37:09,-35.42358832202089,12,orange
LM-12HLM-34DLM-15YLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 9 L. Delaunay",-4,34:01,90,78,62,27,40,20,50.0,35,22,7,31.8,36,20,17,85.0,69,33,14,19,18,10,9,15,82,82,53,26,27,11,40.7,16,26,15,57.7,92,19,15,78.9,53,27,8,19,20,5,11,17,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-93P,LM-9D,2041.0,86,86.66666666666667,49,100.0,21,-13.333333333333329,28,105.83047525722684,86,96.42332190102891,42,9.407153356197924,78,55.08474576271186,40,66.8187744458931,19,-11.734028683181236,23,110.16949152542372,40,133.6375488917862,19,0 days 00:34:01,-23.468057366362473,23,orange
LM-34DLM-35TLM-93PLM-2BLM-5N,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 5 M. Ngouama",-17,23:01,59,44,39,19,25,17,68.0,84,14,2,14.3,6,7,4,57.1,15,18,4,14,7,3,10,12,55,61,39,21,24,16,66.7,82,15,5,33.3,40,15,14,93.3,82,19,4,15,16,8,6,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,5 M. Ngouama,LM-34D,LM-35T,LM-93P,LM-2B,LM-5N,1381.0,74,74.57627118644068,27,110.9090909090909,10,-36.33281972265023,12,102.53439536567704,77,95.58291093410573,47,6.951484431571316,69,52.28136882129277,31,66.8859649122807,19,-14.604596090987926,16,104.56273764258555,31,133.7719298245614,19,0 days 00:23:01,-29.20919218197585,16,orange
LM-12HLM-34DLM-15YLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 44 W. Narace, 9 L. Delaunay",17,22:36,54,56,32,17,15,8,53.3,44,17,9,52.9,84,16,13,81.3,62,17,4,13,15,2,5,6,39,39,26,13,10,6,60.0,69,16,7,43.8,73,9,6,66.7,26,7,0,7,9,1,5,14,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-44N,LM-9D,1356.0,74,103.7037037037037,78,100.0,21,3.7037037037036953,51,95.57522123893806,49,69.02654867256638,98,26.54867256637168,96,71.72131147540983,84,65.086782376502,24,6.634529098907834,61,143.44262295081967,84,130.173564753004,24,0 days 00:22:36,13.269058197815667,61,orange
LM-34DLM-35TLM-93PLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 9 L. Delaunay",6,19:00,43,51,29,19,17,12,70.6,88,12,7,58.3,91,7,6,85.7,72,12,3,9,12,2,5,9,44,45,33,17,24,14,58.3,65,9,3,33.3,40,8,8,100.0,91,11,3,8,9,4,5,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-93P,LM-2B,LM-9D,1140.0,64,118.6046511627907,92,102.27272727272727,18,16.331923890063436,70,90.52631578947368,28,92.63157894736842,62,-2.10526315789474,41,79.48877805486285,96,61.610076670317625,34,17.878701384545224,85,158.9775561097257,96,123.22015334063525,34,0 days 00:19:00,35.75740276909045,85,orange
LM-12HLM-34DLM-1NLM-15YLM-93P,"12 T. Hudgins, 34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",-2,18:54,52,38,33,14,17,8,47.1,28,16,6,37.5,54,5,4,80.0,58,15,8,7,11,4,6,9,45,40,25,12,9,4,44.4,25,16,8,50.0,83,8,8,100.0,91,11,1,10,11,3,9,11,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-34D,LM-1N,LM-15Y,LM-93P,1134.0,63,73.07692307692307,24,88.88888888888889,44,-15.81196581196582,23,110.05291005291005,90,95.23809523809523,49,14.814814814814824,89,53.97727272727272,36,70.12622720897616,12,-16.14895448170344,14,107.95454545454544,36,140.25245441795232,12,0 days 00:18:54,-32.29790896340688,14,orange
LM-12HLM-34DLM-35TLM-15YLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 9 L. Delaunay",0,17:50,46,40,24,13,13,9,69.2,85,11,4,36.4,51,14,10,71.4,35,11,4,7,11,5,11,15,40,40,21,14,13,11,84.6,99,8,3,37.5,56,11,9,81.8,60,7,0,7,13,5,7,11,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-15Y,LM-9D,1070.0,59,86.95652173913044,50,100.0,21,-13.043478260869563,28,103.17757009345794,80,89.7196261682243,72,13.45794392523365,88,66.3129973474801,74,77.39938080495357,2,-11.08638345747346,24,132.6259946949602,74,154.79876160990713,2,0 days 00:17:50,-22.17276691494692,24,orange
LM-12HLM-34DLM-15YLM-93PLM-2B,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",-7,17:09,48,33,33,12,19,11,57.9,55,14,1,7.1,2,11,8,72.7,39,14,6,8,9,3,3,6,35,40,26,16,16,11,68.8,86,10,5,50.0,83,4,3,75.0,43,14,3,11,10,0,4,9,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-12H,LM-34D,LM-15Y,LM-93P,LM-2B,1029.0,58,68.75,16,114.28571428571428,6,-45.53571428571428,7,111.9533527696793,93,81.6326530612245,88,30.320699708454796,98,43.604651162790695,10,72.04610951008645,5,-28.441458347295757,4,87.20930232558139,10,144.0922190201729,5,0 days 00:17:09,-56.882916694591515,4,orange
LM-1NLM-15YLM-44NLM-93PLM-2B,"1 A. N'Doye, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 2 T. Buchanan",-4,16:40,39,29,29,13,23,12,52.2,42,6,1,16.7,11,2,2,100.0,90,11,4,7,9,5,5,8,40,33,26,13,15,11,73.3,93,11,2,18.2,7,11,5,45.5,7,14,4,10,5,4,8,6,Le Mans,Betclic Elite,1 A. N'Doye,15 W. Yeguete,44 W. Narace,93 N. Penda,2 T. Buchanan,LM-1N,LM-15Y,LM-44N,LM-93P,LM-2B,1000.0,55,74.35897435897436,27,82.5,57,-8.141025641025635,33,93.6,40,96.0,45,-2.4000000000000057,39,48.52744310575636,20,53.50194552529183,66,-4.974502419535469,34,97.05488621151272,20,107.00389105058366,66,0 days 00:16:40,-9.949004839070938,34,orange
LM-12HLM-35TLM-1NLM-15YLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",11,16:20,41,39,31,15,18,6,33.3,9,13,9,69.2,97,0,0,0.0,1,14,6,8,11,4,6,6,41,28,26,10,18,7,38.9,14,8,3,37.5,56,6,5,83.3,66,15,6,9,2,3,9,4,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-15Y,LM-93P,980.0,54,95.1219512195122,66,68.29268292682927,85,26.829268292682926,85,100.40816326530613,71,100.40816326530613,25,0.0,49,62.903225806451616,63,48.882681564245814,79,14.020544242205801,80,125.80645161290323,63,97.76536312849163,79,0 days 00:16:20,28.041088484411603,80,orange
LM-34DLM-1NLM-15YLM-93PLM-2B,"34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda, 2 T. Buchanan",10,15:34,40,35,27,13,20,10,50.0,35,7,3,42.9,67,11,6,54.5,13,15,7,8,9,4,6,8,36,25,19,8,10,4,40.0,15,9,4,44.4,75,9,5,55.6,14,7,3,4,8,3,7,9,Le Mans,Betclic Elite,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,2 T. Buchanan,LM-34D,LM-1N,LM-15Y,LM-93P,LM-2B,934.0,50,87.5,53,69.44444444444444,84,18.055555555555557,72,102.78372591006423,78,92.50535331905782,64,10.278372591006416,80,54.962311557788944,40,54.4425087108014,64,0.5198028469875453,48,109.92462311557789,40,108.8850174216028,64,0 days 00:15:34,1.0396056939750906,48,orange
LM-12HLM-34DLM-35TLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 9 L. Delaunay",11,15:30,37,35,27,14,14,9,64.3,75,13,5,38.5,57,5,2,40.0,5,15,3,12,10,3,3,4,38,24,27,9,18,7,38.9,14,9,2,22.2,11,6,4,66.7,26,13,4,9,6,2,6,7,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-93P,LM-9D,930.0,50,94.5945945945946,64,63.1578947368421,89,31.436699857752494,87,95.48387096774194,48,98.06451612903227,35,-2.5806451612903345,38,59.93150684931508,56,40.48582995951417,93,19.445676889800907,87,119.86301369863016,56,80.97165991902834,93,0 days 00:15:30,38.891353779601815,87,orange
LM-12HLM-34DLM-35TLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 9 L. Delaunay",-6,15:12,40,22,25,9,9,6,66.7,81,16,3,18.8,14,1,1,100.0,90,14,4,10,5,3,7,9,37,28,25,9,14,6,42.9,22,11,3,27.3,22,9,7,77.8,50,12,5,7,8,5,5,5,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-44N,LM-9D,912.0,49,55.00000000000001,5,75.67567567567568,71,-20.67567567567567,18,105.26315789473684,84,97.36842105263158,39,7.89473684210526,73,43.23899371069182,9,48.34254143646409,80,-5.103547725772266,34,86.47798742138365,9,96.68508287292818,80,0 days 00:15:12,-10.207095451544532,34,orange
LM-34DLM-35TLM-44NLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 2 T. Buchanan, 9 L. Delaunay",7,14:56,34,33,18,10,13,7,53.8,45,5,3,60.0,92,10,10,100.0,90,12,1,11,9,1,5,10,34,26,23,8,14,7,50.0,39,9,1,11.1,4,13,9,69.2,31,9,3,6,9,3,2,9,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,44 W. Narace,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-44N,LM-2B,LM-9D,896.0,48,97.05882352941177,69,76.47058823529412,67,20.588235294117652,74,91.07142857142857,30,91.07142857142857,67,0.0,49,73.66071428571429,89,45.26462395543175,89,28.39609033028254,96,147.32142857142858,89,90.5292479108635,89,0 days 00:14:56,56.79218066056508,96,orange
