id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_%_equipe,centile_True_Shooting_%_equipe,True_Shooting_%_opp,centile_True_Shooting_%_opp,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,minutes_filtre,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes
LM-12HLM-15YLM-44NLM-93PLM-9D,"12 T. Hudgins, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 9 L. Delaunay",-20,42:02,101,57,64,22,40,14,35.0,8,24,8,33.3,39,6,5,83.3,64,31,11,20,13,6,14,16,85,77,59,27,31,15,48.4,33,28,12,42.9,73,12,11,91.7,80,32,6,26,25,6,10,15,Le Mans,Betclic Elite,12 T. Hudgins,15 W. Yeguete,44 W. Narace,93 N. Penda,9 L. Delaunay,LM-12H,LM-15Y,LM-44N,LM-93P,LM-9D,2522.0,90,56.43564356435643,5,90.58823529411764,35,-34.15259172976122,11,96.11419508326726,50,80.88818398096748,94,15.22601110229978,87,42.76710684273709,7,59.89421281891724,59,-17.127105976180147,12,85.53421368547419,7,119.78842563783448,40,-34.25421195236029,12,orange
LM-12HLM-34DLM-15YLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 9 L. Delaunay",-18,38:59,102,81,67,27,43,20,46.5,27,24,7,29.2,31,24,20,83.3,64,39,16,23,19,10,13,19,92,99,63,32,31,13,41.9,18,32,19,59.4,93,21,16,76.2,46,30,8,22,25,7,11,20,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-93P,LM-9D,2339.0,89,79.41176470588235,38,107.6086956521739,10,-28.19693094629156,14,104.6601111586148,81,94.3993159469859,54,10.260795211628905,77,52.21763795771016,29,68.52159468438539,84,-16.30395672667523,14,104.43527591542032,29,137.04318936877078,15,-32.60791345335046,14,orange
LM-12HLM-34DLM-1NLM-15YLM-93P,"12 T. Hudgins, 34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",5,28:29,80,59,51,24,30,17,56.7,51,21,7,33.3,39,7,4,57.1,14,29,12,17,17,5,9,14,67,54,42,17,19,8,42.1,19,23,9,39.1,62,11,11,100.0,90,15,1,14,15,3,10,15,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-34D,LM-1N,LM-15Y,LM-93P,1709.0,80,73.75,26,80.59701492537313,58,-6.847014925373131,37,112.34640140433,92,94.09011117612638,56,18.256290228203625,89,54.54881656804734,38,57.64304013663535,53,-3.0942235685880064,38,109.09763313609469,38,115.2860802732707,46,-6.188447137176013,38,orange
LM-34DLM-35TLM-93PLM-2BLM-5N,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 5 M. Ngouama",-17,23:01,59,44,39,19,25,17,68.0,83,14,2,14.3,7,7,4,57.1,14,18,4,14,7,3,10,12,55,61,39,21,24,16,66.7,82,15,5,33.3,42,15,14,93.3,81,19,4,15,16,8,6,10,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,5 M. Ngouama,LM-34D,LM-35T,LM-93P,LM-2B,LM-5N,1381.0,73,74.57627118644068,28,110.9090909090909,8,-36.33281972265023,10,102.53439536567704,75,95.58291093410573,48,6.951484431571316,69,52.28136882129277,30,66.8859649122807,81,-14.604596090987926,16,104.56273764258556,30,133.7719298245614,18,-29.20919218197585,16,orange
LM-12HLM-34DLM-15YLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 44 W. Narace, 9 L. Delaunay",17,22:36,54,56,32,17,15,8,53.3,42,17,9,52.9,84,16,13,81.3,59,17,4,13,15,2,5,6,39,39,26,13,10,6,60.0,69,16,7,43.8,75,9,6,66.7,26,7,0,7,9,1,5,14,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-44N,LM-9D,1356.0,72,103.7037037037037,79,100.0,19,3.7037037037036953,51,95.57522123893806,47,69.02654867256638,98,26.54867256637168,95,71.72131147540983,84,65.086782376502,76,6.634529098907834,60,143.44262295081967,84,130.173564753004,23,13.269058197815667,60,orange
LM-34DLM-35TLM-93PLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 9 L. Delaunay",2,21:05,46,57,31,21,18,13,72.2,90,13,8,61.5,94,9,7,77.8,49,12,3,9,15,2,5,11,48,55,37,21,28,18,64.3,78,9,3,33.3,42,11,10,90.9,79,12,4,8,13,4,5,11,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-93P,LM-2B,LM-9D,1265.0,69,123.91304347826086,95,114.58333333333331,5,9.329710144927532,60,87.27272727272727,17,91.06719367588934,70,-3.794466403162076,36,81.52173913043478,98,65.72657743785851,77,15.795161692576272,81,163.04347826086956,98,131.45315487571702,22,31.590323385152544,81,orange
LM-1NLM-15YLM-44NLM-93PLM-2B,"1 A. N'Doye, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 2 T. Buchanan",-5,19:39,44,36,33,16,25,14,56.0,50,8,2,25.0,22,5,2,40.0,4,11,4,7,11,5,5,8,45,41,30,16,16,12,75.0,94,14,4,28.6,28,11,5,45.5,7,17,5,12,6,4,9,8,Le Mans,Betclic Elite,1 A. N'Doye,15 W. Yeguete,44 W. Narace,93 N. Penda,2 T. Buchanan,LM-1N,LM-15Y,LM-44N,LM-93P,LM-2B,1179.0,64,81.81818181818183,40,91.11111111111111,35,-9.292929292929289,31,89.56743002544529,25,91.6030534351145,68,-2.0356234096692134,42,51.13636363636363,25,58.840413318025256,56,-7.704049681661623,29,102.27272727272728,25,117.68082663605053,43,-15.408099363323243,29,orange
LM-12HLM-35TLM-1NLM-44NLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 44 W. Narace, 93 N. Penda",-10,19:20,38,24,26,9,13,5,38.5,13,13,4,30.8,33,4,2,50.0,9,17,4,13,5,1,6,10,45,34,27,10,21,7,33.3,7,6,3,50.0,84,15,11,73.3,37,16,4,12,9,3,5,8,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,44 W. Narace,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-44N,LM-93P,1160.0,62,63.1578947368421,12,75.55555555555556,68,-12.397660818713454,28,78.62068965517243,4,93.10344827586208,61,-14.482758620689651,12,43.22766570605187,9,50.595238095238095,25,-7.367572389186222,29,86.45533141210375,9,101.1904761904762,74,-14.735144778372444,29,orange
LM-12HLM-34DLM-35TLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 9 L. Delaunay",16,19:03,47,47,34,19,19,13,68.4,84,15,6,40.0,61,6,3,50.0,9,19,4,15,10,3,4,7,48,31,34,11,21,8,38.1,12,13,3,23.1,14,10,6,60.0,17,17,7,10,6,2,6,10,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-93P,LM-9D,1143.0,61,100.0,73,64.58333333333334,87,35.41666666666666,88,98.68766404199476,64,100.78740157480314,26,-2.0997375328083905,42,64.13755458515283,68,40.364583333333336,3,23.77297125181949,93,128.27510917030563,68,80.72916666666667,96,47.54594250363898,93,orange
LM-12HLM-35TLM-1NLM-15YLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",13,18:38,45,46,33,17,19,7,36.8,10,14,10,71.4,98,2,2,100.0,90,16,6,10,13,4,7,7,46,33,30,12,20,8,40.0,14,10,4,40.0,67,6,5,83.3,63,15,6,9,4,4,9,5,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-15Y,LM-93P,1118.0,60,102.2222222222222,76,71.73913043478261,78,30.483091787439605,84,96.6010733452594,53,98.74776386404294,34,-2.146690518783544,41,67.8866587957497,78,50.55147058823529,25,17.335188207514406,84,135.7733175914994,78,101.10294117647058,75,34.67037641502881,84,orange
