id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe","centile_2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe","centile_3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe","centile_Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant","centile_2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant","centile_3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant","centile_Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,centile_Secondes,Rentabilite_possessions_equipe,centile_Rentabilite_possessions_equipe,Rentabilite_possessions_opp,centile_Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,centile_Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,centile_Rentabilite_temps_equipe,Rentabilite_temps_opp,centile_Rentabilite_temps_opp,Differentiel_rentabilite_temps,centile_Differentiel_rentabilite_temps,True_Shooting_equipe_%,centile_True_Shooting_equipe_%,True_Shooting_opp_%,centile_True_Shooting_opp_%,Differentiel_True_Shooting_%,centile_Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,centile_Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,centile_Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes,centile_Differentiel_Pts_Tirs_Tentes,Color
LM-12HLM-34DLM-15YLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 93 N. Penda, 9 L. Delaunay",-4,34:01,90,78,62,27,40,20,50.0,35,22,7,31.8,37,20,17,85.0,67,33,14,19,18,10,9,15,82,82,53,26,27,11,40.7,19,26,15,57.7,93,19,15,78.9,50,27,8,19,20,5,11,17,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-93P,LM-9D,2041.0,88,86.66666666666667,51,100.0,14,-13.333333333333329,25,105.83047525722684,86,96.42332190102891,47,9.407153356197924,79,55.08474576271186,39,66.8187744458931,82,-11.734028683181236,24,110.16949152542372,39,133.6375488917862,17,-23.468057366362473,24,orange
LM-12HLM-34DLM-35TLM-15YLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 15 W. Yeguete, 9 L. Delaunay",-3,17:16,43,37,23,12,13,9,69.2,81,10,3,30.0,35,14,10,71.4,39,9,3,6,10,5,10,15,39,40,20,14,13,11,84.6,100,7,3,42.9,76,11,9,81.8,57,7,0,7,13,4,7,11,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,15 W. Yeguete,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-15Y,LM-9D,1036.0,64,86.04651162790698,49,102.56410256410255,10,-16.517590936195575,20,99.61389961389962,67,90.34749034749035,70,9.26640926640927,78,63.44307270233196,67,80.51529790660226,98,-17.072225204270296,12,126.88614540466392,67,161.0305958132045,1,-34.14445040854059,12,orange
LM-34DLM-35TLM-93PLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 2 T. Buchanan, 9 L. Delaunay",9,16:55,40,49,27,18,16,11,68.8,81,11,7,63.6,96,7,6,85.7,69,12,3,9,12,2,4,8,36,40,28,15,22,13,59.1,68,6,2,33.3,41,8,8,100.0,88,9,2,7,9,3,3,9,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,93 N. Penda,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-93P,LM-2B,LM-9D,1015.0,63,122.50000000000001,98,111.11111111111111,5,11.3888888888889,59,94.58128078817734,45,85.12315270935962,85,9.458128078817722,79,81.44946808510639,98,63.45177664974619,71,17.997691435360196,82,162.89893617021278,98,126.90355329949239,28,35.99538287072039,82,orange
LM-1NLM-15YLM-44NLM-93PLM-2B,"1 A. N'Doye, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 2 T. Buchanan",-4,16:40,39,29,29,13,23,12,52.2,41,6,1,16.7,11,2,2,100.0,88,11,4,7,9,5,5,8,40,33,26,13,15,11,73.3,93,11,2,18.2,6,11,5,45.5,9,14,4,10,5,4,8,6,Le Mans,Betclic Elite,1 A. N'Doye,15 W. Yeguete,44 W. Narace,93 N. Penda,2 T. Buchanan,LM-1N,LM-15Y,LM-44N,LM-93P,LM-2B,1000.0,62,74.35897435897436,29,82.5,51,-8.141025641025635,32,93.6,41,96.0,50,-2.4000000000000057,39,48.52744310575636,21,53.50194552529183,35,-4.974502419535469,37,97.05488621151272,21,107.00389105058366,64,-9.949004839070938,37,orange
LM-12HLM-35TLM-1NLM-15YLM-93P,"12 T. Hudgins, 35 T. Thomas, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",11,16:20,41,39,31,15,18,6,33.3,7,13,9,69.2,98,0,0,0.0,1,14,6,8,11,4,6,6,41,28,26,10,18,7,38.9,17,8,3,37.5,58,6,5,83.3,62,15,6,9,2,3,9,4,Le Mans,Betclic Elite,12 T. Hudgins,35 T. Thomas,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-35T,LM-1N,LM-15Y,LM-93P,980.0,60,95.1219512195122,67,68.29268292682927,84,26.829268292682926,79,100.40816326530613,69,100.40816326530613,30,0.0,50,62.903225806451616,63,48.882681564245814,22,14.020544242205801,75,125.80645161290323,63,97.76536312849163,77,28.041088484411603,75,orange
LM-12HLM-34DLM-1NLM-15YLM-93P,"12 T. Hudgins, 34 D. DiLeo, 1 A. N'Doye, 15 W. Yeguete, 93 N. Penda",-4,15:59,47,29,29,11,16,7,43.8,21,13,4,30.8,36,4,3,75.0,48,15,8,7,9,4,6,8,39,33,21,10,9,4,44.4,28,12,6,50.0,85,7,7,100.0,88,9,0,9,10,3,8,10,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,1 A. N'Doye,15 W. Yeguete,93 N. Penda,LM-12H,LM-34D,LM-1N,LM-15Y,LM-93P,959.0,58,61.702127659574465,10,84.61538461538461,44,-22.913256955810148,15,117.62252346193952,98,97.60166840458811,41,20.02085505735141,91,47.13914174252275,18,68.52159468438539,87,-21.38245294186264,8,94.2782834850455,18,137.04318936877078,12,-42.76490588372528,8,orange
LM-12HLM-15YLM-44NLM-93PLM-9D,"12 T. Hudgins, 15 W. Yeguete, 44 W. Narace, 93 N. Penda, 9 L. Delaunay",-4,14:57,40,19,27,7,16,4,25.0,3,11,3,27.3,30,2,2,100.0,88,13,7,6,6,4,3,4,30,23,17,8,7,4,57.1,63,10,4,40.0,68,4,3,75.0,42,14,2,12,7,2,6,7,Le Mans,Betclic Elite,12 T. Hudgins,15 W. Yeguete,44 W. Narace,93 N. Penda,9 L. Delaunay,LM-12H,LM-15Y,LM-44N,LM-93P,LM-9D,897.0,51,47.5,1,76.66666666666667,62,-29.16666666666667,10,107.02341137123746,87,80.2675585284281,94,26.75585284280936,95,34.074605451936876,2,61.30063965884861,65,-27.226034206911734,5,68.14921090387375,2,122.60127931769722,34,-54.45206841382347,5,orange
LM-12HLM-34DLM-35TLM-93PLM-9D,"12 T. Hudgins, 34 D. DiLeo, 35 T. Thomas, 93 N. Penda, 9 L. Delaunay",10,14:27,31,34,23,14,11,9,81.8,95,12,5,41.7,63,3,1,33.3,6,12,1,11,10,2,3,4,35,24,25,9,16,7,43.8,26,9,2,22.2,12,6,4,66.7,25,12,4,8,6,2,5,5,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,35 T. Thomas,93 N. Penda,9 L. Delaunay,LM-12H,LM-34D,LM-35T,LM-93P,LM-9D,867.0,48,109.6774193548387,84,68.57142857142857,83,41.105990783410135,94,85.81314878892734,12,96.88581314878893,46,-11.07266435986159,20,69.90131578947368,79,43.41534008683068,6,26.485975702643003,95,139.80263157894737,79,86.83068017366136,93,52.971951405286006,95,orange
LM-34DLM-35TLM-44NLM-2BLM-9D,"34 D. DiLeo, 35 T. Thomas, 44 W. Narace, 2 T. Buchanan, 9 L. Delaunay",8,13:48,32,33,18,10,13,7,53.8,44,5,3,60.0,92,10,10,100.0,88,11,1,10,9,0,4,9,31,25,22,8,13,7,53.8,53,9,1,11.1,2,11,8,72.7,34,9,3,6,8,2,1,9,Le Mans,Betclic Elite,34 D. DiLeo,35 T. Thomas,44 W. Narace,2 T. Buchanan,9 L. Delaunay,LM-34D,LM-35T,LM-44N,LM-2B,LM-9D,828.0,44,103.125,77,80.64516129032258,55,22.479838709677423,73,92.7536231884058,34,89.85507246376811,73,2.898550724637687,57,73.66071428571429,87,46.57228017883755,14,27.08843410687674,96,147.32142857142858,87,93.1445603576751,85,54.17686821375348,96,orange
LM-12HLM-34DLM-15YLM-44NLM-9D,"12 T. Hudgins, 34 D. DiLeo, 15 W. Yeguete, 44 W. Narace, 9 L. Delaunay",14,13:39,33,36,22,12,10,5,50.0,35,12,7,58.3,89,5,5,100.0,88,11,2,9,10,1,2,3,24,22,17,7,5,2,40.0,18,12,5,41.7,73,4,3,75.0,42,5,0,5,5,1,2,7,Le Mans,Betclic Elite,12 T. Hudgins,34 D. DiLeo,15 W. Yeguete,44 W. Narace,9 L. Delaunay,LM-12H,LM-34D,LM-15Y,LM-44N,LM-9D,819.0,43,109.09090909090908,83,91.66666666666666,29,17.424242424242422,69,96.70329670329672,55,70.32967032967034,98,26.37362637362638,94,74.38016528925621,89,58.635394456289966,58,15.744770832966246,79,148.76033057851242,89,117.27078891257993,41,31.489541665932492,79,orange
